run_number,subrun_number,event_number
15391,8,420
16743,26,1347
16743,27,1366
18764,75,3799
18794,366,18329
18794,387,19369
14450,156,7825
15301,60,3046
18740,59,2956
17791,51,2586
16285,49,2468
16150,227,11353
15432,163,8194
18615,203,10179
17308,53,2664
14886,109,5499
16113,350,17537
17271,195,9762
14211,56,2844
18873,27,1378
18646,573,28683
15878,30,1545
18026,128,6422
16964,43,2166
16964,195,9757
15701,365,18279
15927,10,535
16271,26,1338
16271,34,1738
15337,11,561
17823,11,561
14175,25,1289
18488,168,8444
18224,13,672
16529,1,80
16741,188,9426
15014,234,11720
16428,57,2870
18676,330,16540
17865,439,21996
17029,63,3200
17029,126,6303
14143,83,4182
18044,63,3153
15225,52,2647
18935,121,6084
17871,168,8438
18699,156,7817
15640,23,1199
16473,42,2118
16473,132,6648
17131,203,10179
17204,63,3164
18714,175,8751
16583,1,72
15702,28,1446
17055,87,4368
17055,87,4371
16493,35,1768
17757,14,707
18218,242,12126
18265,123,6164
18491,81,4079
14791,5,260
18750,199,10000
17004,194,9725
15231,146,7331
16227,11,595
16227,28,1402
16227,267,13380
17010,108,5405
14652,154,7704
16759,195,9765
17956,195,9780
14901,63,3169
18286,31,1562
16797,182,9123
18862,527,26399
18238,322,16108
16036,101,5100
17000,11,581
16205,476,23803
14410,66,3331
18699,54,2707
18699,181,9078
18955,101,5079
18933,142,7103
18933,260,13034
18508,147,7367
16498,30,1512
18705,2,130
18705,7,356
17306,40,2012
16858,169,8459
16227,218,10934
15172,76,3831
17360,86,4322
17360,86,4344
16141,54,2713
17753,68,3421
17866,80,4045
16267,176,8832
16346,271,13555
15828,123,6187
14942,315,15775
18643,23,1178
18225,391,19560
18689,35,1779
16551,249,12461
15355,87,4374
16023,194,9737
14980,29,1468
18049,28,1433
18922,582,29126
16141,48,2403
14344,50,2521
18679,208,10439
16524,355,17771
15489,12,630
18929,365,18300
18482,111,5582
15701,424,21214
14641,178,8947
18619,88,4401
16150,315,15771
16352,117,5892
18923,438,21918
17155,32,1646
15828,5,280
14641,185,9278
16894,71,3596
17220,28,1443
17369,21,1087
18116,49,2484
18701,146,7325
16584,12,636
17204,189,9479
15473,133,6686
15118,44,2246
17174,22,1133
17683,221,11086
18779,232,11633
16067,106,5326
18732,167,8373
14338,298,14950
15875,388,19405
18040,72,3644
17010,58,2912
17116,116,5838
17753,154,7707
17856,16,803
17856,38,1926
16506,90,4541
15243,121,6081
18054,381,19094
16288,216,10801
14636,56,2826
17208,174,8705
17075,146,7310
16852,17,859
14795,47,2395
18924,43,2152
18852,3,169
16243,176,8816
16802,4,201
14512,29,1497
18258,126,6345
17975,17,887
16401,16,813
14622,26,1307
17835,178,8922
15238,74,3736
14772,114,5748
17240,111,5596
15931,150,7546
18054,525,26254
14488,12,636
14335,243,12173
14335,287,14388
15298,3,164
15298,3,174
17204,6,332
17204,170,8535
14301,145,7264
16843,132,6644
18040,10,529
18619,199,9970
17097,26,1304
17028,28,1405
18701,251,12582
14924,5,262
15236,41,2096
14702,16,835
16683,31,1592
16265,21,1059
17985,199,10000
17876,124,6248
17090,45,2292
17309,97,4870
14708,72,3614
16727,266,13337
17322,17,874
14558,143,7162
14570,17,884
15116,41,2085
14813,30,1548
15103,110,5503
15348,168,8420
18957,263,13169
16735,24,1221
16092,116,5833
14272,77,3867
14127,94,4748
16137,41,2065
15458,78,3908
14880,109,5479
14541,147,7368
18229,7,367
16272,257,12853
15970,504,25201
15252,20,1026
17823,93,4686
17312,46,2303
14934,81,4059
16883,137,6874
16847,4,215
16499,248,12432
14526,76,3830
16352,420,21014
16896,1,83
17683,6,320
18786,103,5195
18944,79,3954
16759,46,2304
