run_number,subrun_number,event_number
18653,151,7555
16386,89,4474
15901,239,11985
14192,14,701
18048,266,13317
18048,266,13322
17023,322,16146
15983,250,12550
18957,215,10778
18957,230,11501
18957,230,11545
15309,21,1076
15412,64,3218
16949,219,10961
18499,232,11603
16446,408,20411
14147,33,1656
18234,84,4243
16965,64,3235
16011,180,9047
16992,24,1222
18781,15,757
18054,189,9477
18699,263,13163
16949,482,24145
16303,72,3616
16303,106,5323
15416,92,4632
16341,61,3069
16253,27,1387
17005,155,7776
16759,18,950
16295,73,3680
15969,398,19914
15969,471,23569
15940,225,11259
15368,215,10767
16782,11,573
18665,472,23629
18748,37,1878
18481,45,2293
14186,82,4108
15528,134,6704
18704,64,3245
18526,94,4713
14125,86,4336
14136,58,2945
15981,276,13810
15981,296,14833
16944,90,4536
16944,240,12023
16944,299,14960
18924,22,1110
15463,382,19114
16148,209,10467
16148,233,11692
18057,204,10238
15471,53,2684
16926,191,9580
16926,226,11333
15634,175,8774
16198,122,6121
18862,641,32080
14191,6,350
16573,259,12960
15436,344,17239
15902,480,24009
14222,34,1702
14222,43,2153
16874,46,2339
14260,108,5436
15287,40,2049
16975,242,12112
14186,106,5309
18953,255,12751
16250,142,7132
18496,51,2594
18054,437,21880
18610,227,11387
18753,219,10986
15464,24,1220
15961,145,7267
15228,42,2107
18044,446,22321
18527,502,25109
16051,77,3880
15396,81,4076
16304,35,1795
18472,16,844
14191,133,6663
15983,185,9266
15436,202,10136
15231,120,6018
16058,181,9083
18692,288,14407
18692,288,14432
15389,35,1759
16894,7,358
16894,7,375
15391,206,10337
18044,518,25910
16584,71,3571
15970,291,14598
15640,62,3119
15981,475,23767
15981,475,23800
16750,14,731
17011,163,8197
18226,80,4048
16081,27,1400
16081,100,5003
15593,199,9976
15877,151,7554
16676,241,12055
18510,239,11964
16109,66,3320
16109,66,3341
18253,64,3215
16744,6,337
15987,375,18755
18463,514,25706
18636,319,16000
18701,279,13995
16480,28,1409
15463,231,11585
15463,333,16651
18765,309,15487
16834,210,10544
15386,104,5213
16946,11,599
15920,101,5067
18037,15,790
18037,18,939
16546,88,4435
15315,116,5828
18678,271,13591
14150,12,632
16222,6,301
15471,49,2474
15236,9,489
16089,97,4892
18041,60,3031
18717,50,2547
15416,12,627
15416,67,3365
14146,119,5971
16807,27,1352
18922,290,14537
15588,253,12664
18750,137,6874
17048,2,120
16199,4,219
15428,6,304
15428,6,307
18794,340,17010
16115,18,918
18644,129,6484
17036,172,8616
15335,265,13258
15870,89,4474
18492,58,2932
16283,159,7990
16317,9,455
17849,113,5657
18492,444,22217
18225,247,12367
14246,0,50
16348,47,2355
15262,38,1946
17036,92,4621
15254,130,6512
18752,215,10754
15421,43,2179
18658,15,785
15713,101,5064
16058,240,12001
16058,240,12047
18272,52,2649
18272,86,4333
16912,9,491
18952,94,4701
17035,0,1
18032,41,2095
18032,271,13594
18714,185,9288
18781,92,4645
18781,138,6947
15236,144,7239
16199,29,1500
16298,19,994
16298,77,3877
18929,305,15264
18915,337,16883
15713,128,6418
16105,17,871
18225,132,6624
16888,117,5878
18050,32,1624
18574,329,16484
15501,137,6854
16847,56,2807
18514,103,5166
16920,70,3538
15967,52,2610
15875,89,4474
17139,287,14352
18008,87,4376
17559,9,474
17371,552,27625
17963,16,828
14557,40,2017
14557,142,7124
14874,195,9766
14874,195,9782
14549,206,10302
14553,298,14949
17560,16,841
17560,122,6107
17834,33,1667
17371,493,24671
17371,520,26029
14921,29,1481
14721,68,3420
17158,112,5604
14544,195,9787
14675,85,4254
17484,198,9934
14558,229,11454
17784,37,1885
17169,99,4967
17630,44,2204
17789,30,1521
14607,79,3976
14607,138,6901
14774,207,10363
17468,2,136
14749,213,10665
17194,58,2909
17840,147,7360
14927,82,4143
14927,136,6833
17125,45,2254
17633,46,2335
17871,275,13793
17871,279,13962
17208,250,12522
17698,72,3624
17566,69,3465
15013,183,9160
15149,94,4745
18011,42,2150
17580,6,339
14392,273,13666
14445,147,7385
17078,92,4610
14559,218,10902
14736,204,10205
17206,532,26624
14279,254,12725
15106,14,706
15106,190,9514
17488,70,3540
14409,57,2874
14758,237,11857
14734,77,3891
17137,57,2867
17137,132,6613
17057,89,4488
15017,65,3276
17719,10,521
15161,187,9382
14583,43,2189
14802,108,5449
17524,257,12875
14967,110,5513
17874,56,2826
17199,129,6469
15106,78,3938
17121,7,358
17989,56,2802
17383,143,7152
18040,82,4123
14573,11,572
17394,15,763
17394,106,5349
17132,537,26874
14463,162,8117
14464,152,7635
17974,13,695
17974,44,2235
17270,0,48
17270,30,1514
18021,146,7322
14824,69,3484
14327,62,3112
14287,3,165
14287,7,383
17114,137,6885
15074,28,1402
14556,7,400
14556,32,1627
14556,180,9023
14785,7,382
14785,7,395
17875,42,2106
14377,122,6145
14219,122,6145
15160,167,8390
14764,44,2237
17594,59,2971
17488,130,6547
17249,34,1726
14369,90,4527
14243,65,3278
15099,150,7507
17122,155,7790
14801,204,10244
15163,68,3438
15163,72,3615
14927,23,1179
14927,44,2217
14927,266,13313
17633,28,1414
17398,216,10801
14592,41,2096
15116,100,5017
14263,291,14563
14887,106,5316
14887,123,6155
17569,5,290
14959,195,9796
14245,85,4270
14245,126,6311
17524,293,14651
14796,19,993
17093,94,4729
15166,280,14019
17493,273,13651
17493,315,15792
17493,322,16114
14212,46,2336
14218,196,9818
14535,53,2680
14697,75,3795
15145,117,5853
15145,135,6781
17100,6,324
17100,12,610
17100,92,4637
14887,11,583
14372,77,3887
14372,147,7366
14740,36,1808
14550,294,14745
17213,65,3272
14597,19,998
14597,149,7500
14812,310,15535
17156,5,292
17336,25,1273
17228,70,3542
14795,24,1216
14907,184,9225
14645,62,3150
14801,233,11685
17364,149,7494
17552,178,8943
17561,208,10416
14623,293,14678
14274,139,6998
14274,168,8425
14615,3,198
14615,41,2070
17965,81,4087
17972,57,2876
14336,2,116
18021,132,6637
17693,103,5179
17458,53,2678
14935,271,13574
14401,109,5485
17406,147,7387
15051,13,680
15128,228,11430
14551,160,8041
15222,8,446
17237,480,24035
14980,207,10379
15074,114,5719
14391,34,1749
17693,177,8857
14469,35,1758
14467,170,8524
14664,217,10866
17840,198,9909
17524,175,8751
14709,6,315
14737,32,1646
17693,336,16807
17444,29,1464
14367,3,186
14801,112,5607
14801,225,11285
17220,16,841
18021,524,26213
17195,19,982
14559,14,747
17067,30,1527
17067,31,1574
15113,68,3410
17218,21,1069
17256,137,6890
18007,139,6997
17495,216,10831
17367,152,7649
14301,126,6327
14301,231,11552
17655,210,10533
14369,132,6629
14870,206,10310
17240,455,22786
17383,193,9655
17383,253,12662
17240,523,26195
14544,248,12447
17140,44,2238
15160,19,965
14539,144,7233
14902,40,2027
14644,285,14269
17414,82,4112
17955,151,7585
14619,2,118
17383,276,13826
17383,471,23582
17497,25,1291
17259,1,96
18011,86,4329
17637,59,2972
14686,96,4828
15153,6,348
17719,82,4112
14219,141,7068
14219,141,7076
14463,136,6846
17489,248,12414
17237,4,211
17237,471,23585
17644,9,474
17644,27,1358
17644,36,1803
14263,18,932
14569,144,7231
14277,83,4156
14277,241,12100
14555,189,9500
17251,61,3058
14526,27,1359
17301,105,5266
17985,86,4339
17849,207,10364
17835,156,7827
14410,48,2442
14265,21,1100
14363,71,3580
14553,50,2535
14989,197,9898
14911,18,907
17692,27,1385
14641,11,574
14641,11,591
17851,36,1848
14986,59,2984
18021,333,16698
14343,155,7786
17973,10,511
17973,52,2628
14553,105,5266
17621,15,786
17621,123,6159
17829,240,12010
17644,0,3
17644,32,1647
17110,92,4602
15054,87,4368
17872,3,181
17121,25,1260
14882,151,7554
14455,142,7103
14643,148,7423
18007,28,1403
18007,28,1439
17345,11,594
17650,19,976
17650,21,1059
17389,86,4329
17960,66,3321
14812,116,5846
17414,178,8901
17312,113,5698
17210,185,9278
17866,124,6246
17162,174,8744
14891,173,8651
14798,25,1287
17409,13,696
17620,146,7348
14770,170,8505
14349,0,9
15128,157,7852
17824,43,2197
17418,21,1051
17678,61,3060
17128,43,2196
18021,106,5337
18021,258,12946
14235,126,6318
15090,3,195
14749,196,9825
17394,96,4830
17394,114,5744
14538,18,930
14337,66,3302
