run_number,subrun_number,event_number
15593,47,2354
16951,131,6555
16951,167,8390
16711,72,3616
16472,86,4307
16472,93,4682
14202,100,5050
17065,23,1186
16298,21,1092
14551,301,15098
14174,181,9055
14913,176,8822
15800,156,7846
17043,39,1983
16036,220,11029
16052,160,8043
15916,534,26719
15403,142,7140
14139,31,1562
15254,79,3966
16089,449,22476
15588,107,5388
16524,217,10860
15496,32,1622
17173,0,5
15391,11,593
15391,173,8687
16041,188,9403
14993,106,5302
16824,17,865
16824,28,1440
14431,16,827
16910,75,3783
14542,169,8459
14542,226,11327
15496,91,4565
14329,229,11483
14799,65,3279
14774,84,4215
14774,84,4225
16075,2,144
16075,452,22645
14618,5,273
15097,140,7043
16471,127,6394
16448,70,3503
14925,270,13523
17489,146,7349
17489,166,8308
16469,23,1185
16469,54,2742
15862,234,11733
17077,65,3296
15302,15,792
16346,92,4624
16910,181,9063
16095,355,17794
14324,0,4
15348,34,1741
14583,27,1351
15382,39,1982
14590,46,2318
16874,117,5873
17373,110,5542
17373,167,8383
14611,97,4899
15785,304,15217
16888,542,27113
14788,86,4306
16856,12,619
17503,141,7078
16169,414,20748
17139,174,8729
16298,82,4139
15479,378,18907
16405,7,398
16405,26,1331
14609,232,11605
16205,484,24204
16031,28,1408
16805,77,3856
14990,80,4041
17312,67,3393
15529,68,3425
16075,391,19556
16075,462,23127
16329,16,819
15491,274,13739
15491,332,16634
15590,37,1894
16978,236,11836
15093,70,3506
15093,70,3536
16979,47,2368
14135,13,662
15369,9,481
15361,31,1581
14770,191,9591
16935,237,11889
16801,27,1354
16949,484,24210
14539,202,10106
15680,1,51
16858,83,4164
15383,236,11804
17518,30,1505
14672,20,1019
16417,25,1278
14272,46,2345
16101,155,7756
15138,58,2914
16529,40,2018
16006,58,2933
16823,136,6846
16823,138,6937
17394,6,323
14246,6,303
14246,6,314
15156,53,2674
14293,161,8082
16652,1,58
16652,1,96
16499,447,22362
17449,57,2900
17057,60,3028
15777,100,5039
14564,155,7757
17533,61,3089
14619,144,7211
14716,60,3046
14548,15,779
14548,185,9260
15301,92,4617
16846,52,2628
16421,61,3089
16424,285,14297
15093,98,4933
16853,140,7030
16506,71,3576
16473,47,2384
16970,26,1303
15106,169,8460
15264,148,7432
14772,81,4076
14216,106,5303
14216,106,5349
17475,78,3906
14607,15,767
14436,189,9459
17028,93,4675
14409,288,14424
14450,214,10717
15952,108,5447
14394,51,2565
14607,156,7826
16218,13,685
17470,107,5362
17251,12,640
17503,245,12270
15397,187,9357
14297,37,1862
14934,79,3965
15396,42,2146
14806,224,11232
14553,44,2244
14935,251,12552
15516,33,1655
14401,78,3906
16304,90,4525
15343,73,3686
17493,160,8025
17488,76,3814
14225,11,583
17361,274,13729
15014,71,3553
15150,14,739
16456,0,1
14759,17,877
15029,8,435
14643,241,12096
16522,11,554
14990,250,12542
15279,23,1193
15279,112,5646
14877,82,4139
14877,99,4957
14893,242,12113
15382,281,14093
15018,9,495
15018,12,621
15146,65,3288
15288,21,1078
14539,71,3591
16797,113,5670
14556,310,15515
14218,100,5005
14218,129,6463
16885,40,2014
16885,57,2873
16696,96,4812
16232,193,9684
15428,233,11668
14824,128,6427
14751,39,1955
16894,61,3092
16067,153,7683
16694,63,3181
16067,79,3977
16352,75,3794
17489,117,5862
17489,254,12727
17125,93,4681
17005,67,3376
15499,101,5074
17361,197,9892
16864,253,12655
16976,15,780
14909,121,6067
14909,135,6774
14909,135,6792
14909,135,6798
15402,49,2496
14764,119,5979
14724,16,822
17550,45,2264
16078,0,29
17307,70,3532
15970,144,7224
14407,35,1794
16218,18,935
14549,147,7358
14549,222,11146
16889,20,1001
15436,13,690
14329,201,10066
14771,216,10823
14984,2,122
14902,150,7507
15592,90,4504
15223,0,49
15223,36,1810
15014,14,706
14816,56,2812
14816,213,10690
14768,25,1277
14453,31,1591
15366,55,2788
16854,50,2531
16854,66,3328
