run_number,subrun_number,event_number,signal_score,weight
6387,17,892,0.3954638242721557,0.619295
6387,18,916,0.0037604498211294,0.840857
6375,5,255,0.1419142037630081,0.606021
6502,47,2398,0.0028626006096601,0.992334
6502,50,2532,0.0058673652820289,1.04434657624
6173,128,6449,0.0015736289788037,0.526087
6583,162,8118,0.0211202725768089,0.11953034307
6664,145,7279,0.0321428440511226,1.69391
6507,47,2385,0.0588807128369808,0.971382
6448,110,5541,0.0031373118981719,1.08064
6549,144,7246,0.0049934252165257,1.21277
6547,4,207,0.0162332206964492,0.87988
6614,84,4231,0.9867419600486756,1.02085
6614,86,4343,0.0057003586553037,0.992264
6664,135,6778,0.0072502358816564,1.08134406749
6664,137,6885,0.0073504555039107,1.0742
6489,141,7090,0.0094221672043204,1.03796
6427,42,2118,0.1251864731311798,0.759057
6427,61,3067,0.0020056655630469,0.976755
6588,15,776,0.0050642658025026,0.940025
6666,175,8769,0.0009846114553511,0.72373273653
6666,177,8877,0.4659404456615448,0.650585
6353,101,5058,0.0257645733654499,1.04439
6608,42,2116,0.006726668216288,0.956534
6608,43,2160,0.0032410072162747,1.21818
6608,43,2180,0.0017590357456356,0.989352
6690,41,2091,0.0053351577371358,1.0
6340,169,8486,0.0026488262228667,0.843623
6549,137,6895,0.0056571075692772,1.05552
6467,62,3145,0.0016148861031979,1.13957
6697,22,1123,0.0078200092539191,0.5998225995
6697,35,1782,0.0200622659176588,1.18316
6687,244,12220,0.0041355034336447,1.2742761472000002
6668,70,3537,0.119351640343666,0.98495
6616,165,8270,0.0092670023441314,1.01817
6616,171,8584,0.0056173275224864,1.03934
6412,146,7330,0.0051854657940566,0.807601
6448,123,6170,0.0038389263208955,1.02104
6448,148,7423,0.0173336882144212,1.4349343419
6649,14,735,0.0055042393505573,1.0302
6668,50,2507,0.0091107608750462,1.00339
6668,64,3231,0.0025029690004885,0.516425
6668,66,3307,0.0031600915826857,1.1861744104999998
6497,56,2806,0.0285376813262701,0.950365
6497,56,2815,0.0021889647468924,0.543448
6663,191,9591,0.0022014083806425,1.047
6600,111,5595,0.0024928296916186,1.05777270082
6600,113,5652,0.0054671093821525,0.850675
6600,114,5720,0.003485593246296,0.612019
6407,160,8023,0.0033276376780122,0.883
