run_number,subrun_number,event_number,signal_score,weight
7017,348,17420,0.0044871382415294,1.06633218384
7017,319,15982,0.0016753791132941,1.01835
7017,1163,58154,0.2896926403045654,0.77293821152
7011,107,5392,0.0075241429731249,0.93385
7012,1167,58357,0.0064123920165002,1.00665
7016,60,3044,0.0062757222913205,0.593865
7020,32,1601,0.0714116245508194,1.2774293287
7013,203,10184,0.0047623226419091,1.02013
7001,892,44613,0.001279670628719,1.228797591
7011,179,9000,0.0009370998013764,1.0112
7017,449,22485,0.058820191770792,1.04635
7017,1604,80241,0.0011376158799976,1.2980174794000001
7001,372,18639,0.5868459939956665,0.57535
7017,1287,64369,0.0005869963788427,1.05957311949
7017,154,7702,0.432536244392395,0.75241
7017,154,7705,0.012254468165338,1.01430076968
7001,795,39753,0.0401514060795307,0.693318
7001,574,28722,0.118109792470932,0.5646260131199999
7001,574,28748,0.4706830680370331,1.02569
7013,158,7932,0.0054257796145975,0.959801
7001,1066,53311,0.0020820612553507,1.2560370471999998
7001,695,34779,0.14023058116436,1.11587
7016,266,13347,0.010798973031342,0.694261
7017,1093,54668,0.0059509645216166,1.0
7017,458,22947,0.0149190071970224,1.146911805
7011,307,15358,0.0638181716203689,1.08635
7011,307,15365,0.0225508268922567,1.1804795049299999
7020,434,21745,0.0183689333498477,0.880727
7020,464,23239,0.0101793110370635,1.28701
7020,49,2483,0.0553542077541351,1.10306
7020,347,17387,0.0152609786018729,1.08777780202
7016,279,13979,0.0211546998471021,1.24877
7017,1571,78571,0.2519067823886871,0.999726
7017,1097,54899,0.007991082035005,0.996765
7014,1264,63214,0.0058214361779391,1.1507032718999999
7020,333,16657,0.1092089191079139,1.0
7001,992,49637,0.020256582647562,1.5900860976
7016,40,2023,0.1198847591876983,1.08136
7020,239,11994,0.165601298213005,1.73265
7017,925,46287,0.0108443815261125,0.900433
7017,1453,72695,0.0002158800489269,0.515379
7003,1381,69056,0.0086300587281584,0.98492
7017,994,49701,0.0428892932832241,2.87369323776
7001,1170,58527,0.0286507979035377,1.09701
7011,181,9064,0.1573295593261718,1.42512
7017,1369,68477,0.0332488305866718,1.7936
7014,1729,86499,0.0798830240964889,0.63997
7001,1087,54375,0.1285933852195739,0.69719
7017,81,4077,0.1218315884470939,1.03305
7017,81,4080,0.0240054558962583,1.00361
7001,1134,56746,0.0106197353452444,0.907667
7017,1422,71139,0.0553069412708282,1.01452
7017,454,22744,0.2645732462406158,0.6033251000400001
7020,201,10074,0.0571730732917785,0.848326
7017,520,26017,0.0172003023326396,0.947620381578
7016,399,19959,0.069120779633522,0.68686675254
7013,106,5346,0.1233235523104667,1.03979
7020,519,25993,0.8522510528564453,1.18570395
7001,1144,57238,0.0179335698485374,0.860649
7017,1258,62910,0.0092360004782676,0.67906537644
7017,1258,62915,0.0151458792388439,0.9752806724399999
7017,1230,61520,0.0033572593238204,0.877913
7020,252,12623,0.0016896430170163,1.04376
7011,188,9442,0.0029261319432407,1.0840782836
7013,165,8295,0.002357980934903,0.980212
7012,1737,86862,0.2864407896995544,1.2138002198
7017,1701,85059,0.0003871829540003,0.28931
7017,1701,85097,0.0100785056129097,0.8927
7011,258,12901,0.1108290925621986,1.08353
7017,1681,84064,0.0764023810625076,0.955489
7017,1681,84074,0.2147220522165298,1.04398
7014,1239,61969,0.0111430576071143,1.0
7003,1631,81560,0.009831522591412,0.793726
7017,1185,59271,0.0346413850784301,1.02923
7017,1590,79521,0.4005617499351501,1.01622
